dataset-comment "Conformance conversion: Mon Dec 07 09:59:10 2009"
dataset-description "Sudden Expansion 500 "
dataset-orientation "Sudden Expansion"
dataset-reynolds 0500
dataset-laminar-turbulent ""
dataset-experiment 1
dataset-code 243
dataset-experiment 1
geometry-flow-z-direction +1
geometry-throat-outlet-expansion-type "sudden"
geometry-sudden-z 0.0
fluid-density 1056
fluid-viscosity 0.0035
-4.5289150E-003  0.00000E+000
-4.3607900E-003  0.00000E+000
-4.1926650E-003  0.00000E+000
-4.0245400E-003  0.00000E+000
-3.8564150E-003  0.00000E+000
-3.6882900E-003  0.00000E+000
-3.5201650E-003  0.00000E+000
-3.3520400E-003  0.00000E+000
-3.1839150E-003  0.00000E+000
-3.0157900E-003  0.00000E+000
-2.8476650E-003  0.00000E+000
-2.6795400E-003  0.00000E+000
-2.5114150E-003  0.00000E+000
-2.3432900E-003  0.00000E+000
-2.1751650E-003  0.00000E+000
-2.0070400E-003  0.00000E+000
-1.8389150E-003  0.00000E+000
-1.6707900E-003  2.51913E-001
-1.5026650E-003  3.56064E-001
-1.3345400E-003  4.49700E-001
-1.1664150E-003  5.32411E-001
-9.9829000E-004  6.00086E-001
-8.3016500E-004  6.50668E-001
-6.6204000E-004  6.89684E-001
-4.9391500E-004  7.17495E-001
-3.2579000E-004  7.32077E-001
-1.5766500E-004  7.40242E-001
1.0460000E-005  7.43240E-001
1.7858500E-004  7.41491E-001
3.4671000E-004  7.34112E-001
5.1483500E-004  7.20145E-001
6.8296000E-004  6.95863E-001
8.5108500E-004  6.59021E-001
1.0192100E-003  6.08353E-001
1.1873350E-003  5.43029E-001
1.3554600E-003  4.61097E-001
1.5235850E-003  3.67834E-001
1.6917100E-003  2.59985E-001
1.8598350E-003  1.91401E-001
2.0279600E-003  0.00000E+000
2.1960850E-003  0.00000E+000
2.3642100E-003  0.00000E+000
2.5323350E-003  0.00000E+000
2.7004600E-003  0.00000E+000
2.8685850E-003  0.00000E+000
3.0367100E-003  0.00000E+000
3.2048350E-003  0.00000E+000
3.3729600E-003  0.00000E+000
3.5410850E-003  0.00000E+000
3.7092100E-003  0.00000E+000
3.8773350E-003  0.00000E+000
4.0454600E-003  0.00000E+000
4.2135850E-003  0.00000E+000
4.3817100E-003  0.00000E+000
4.5498350E-003  0.00000E+000
4.7179600E-003  0.00000E+000
4.8860850E-003  0.00000E+000
5.0542100E-003  0.00000E+000
5.2223350E-003  0.00000E+000
5.3904600E-003  0.00000E+000
5.5585850E-003  0.00000E+000
5.7267100E-003  0.00000E+000
5.8948350E-003  0.00000E+000
6.0629600E-003  0.00000E+000
6.2310850E-003  0.00000E+000
6.3992100E-003  0.00000E+000
6.5673350E-003  0.00000E+000
6.7354600E-003  0.00000E+000
6.9035850E-003  0.00000E+000
7.0717100E-003  0.00000E+000
7.2398350E-003  0.00000E+000
7.4079600E-003  0.00000E+000
